,ERZ,ERZ_contig,downloaded_assemblies,contig_file,extracted_contig_file,downloaded_cds,cds_file,extracted_cds_file,gff_file,extracted_gff_file
MGYC001159154725,ERZ1758111,ERZ1758111.43-NODE-43-length-329062-cov-57.1272,['/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/assemblies/assemblies/ERZ1758111_FASTA.fasta.gz'],/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/contigs/contigs/MGYC001159154725.fna.gz,True,['/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/assemblies/assemblies_cds/ERZ1758111_FASTA_predicted_cds.faa.gz'],/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/contigs/proteins/MGYC001159154725.faa.gz,True,/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/contigs/gff/MGYC001159154725.gff.gz,True
MGYC001159205082,ERZ1758115,ERZ1758115.47-NODE-47-length-332632-cov-48.8312,['/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/assemblies/assemblies/ERZ1758115_FASTA.fasta.gz'],/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/contigs/contigs/MGYC001159205082.fna.gz,True,['/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/assemblies/assemblies_cds/ERZ1758115_FASTA_predicted_cds.faa.gz'],/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/contigs/proteins/MGYC001159205082.faa.gz,True,/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/contigs/gff/MGYC001159205082.gff.gz,True
MGYC000162702755,ERZ1688198,ERZ1688198.36583-k141-8852,['/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/assemblies/assemblies/ERZ1688198_FASTA.fasta.gz'],/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/contigs/contigs/MGYC000162702755.fna.gz,True,['/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/assemblies/assemblies_cds/ERZ1688198_FASTA_predicted_cds.faa.gz'],/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/contigs/proteins/MGYC000162702755.faa.gz,True,/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/contigs/gff/MGYC000162702755.gff.gz,True
MGYC001329004029,ERZ778604,,['/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/assemblies/assemblies/ERZ778604_FASTA.fasta.gz'],/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/contigs/contigs/MGYC001329004029.fna.gz,False,"['/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/assemblies/assemblies_cds/ERZ778604_FASTA_CDS_annotated.faa.gz', '/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/assemblies/assemblies_cds/ERZ778604_FASTA_CDS_unannotated.faa.gz']",/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/contigs/proteins/MGYC001329004029.faa.gz,False,/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/contigs/gff/MGYC001329004029.gff.gz,False
MGYC000171066608,ERZ1793633,ERZ1793633.8349-NODE-8350-length-4163-cov-3.222493,['/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/assemblies/assemblies/ERZ1793633_FASTA.fasta.gz'],/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/contigs/contigs/MGYC000171066608.fna.gz,True,['/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/assemblies/assemblies_cds/ERZ1793633_FASTA_predicted_cds.faa.gz'],/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/contigs/proteins/MGYC000171066608.faa.gz,True,/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/contigs/gff/MGYC000171066608.gff.gz,True
MGYC000629559716,ERZ724083,ERZ724083.5557 NODE_5557_length_10265_cov_9.141234,['/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/assemblies/assemblies/ERZ724083_FASTA.fasta.gz'],/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/contigs/contigs/MGYC000629559716.fna.gz,False,"['/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/assemblies/assemblies_cds/ERZ724083_FASTA_CDS_annotated.faa.gz', '/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/assemblies/assemblies_cds/ERZ724083_FASTA_CDS_unannotated.faa.gz']",/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/contigs/proteins/MGYC000629559716.faa.gz,False,/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/contigs/gff/MGYC000629559716.gff.gz,False
MGYC000576736630,ERZ724085,ERZ724085.7286 NODE_7286_length_7238_cov_7.636085,['/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/assemblies/assemblies/ERZ724085_FASTA.fasta.gz'],/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/contigs/contigs/MGYC000576736630.fna.gz,False,"['/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/assemblies/assemblies_cds/ERZ724085_FASTA_CDS_annotated.faa.gz', '/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/assemblies/assemblies_cds/ERZ724085_FASTA_CDS_unannotated.faa.gz']",/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/contigs/proteins/MGYC000576736630.faa.gz,False,/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/contigs/gff/MGYC000576736630.gff.gz,False
MGYC000576557905,ERZ724086,ERZ724086.1578 NODE_1578_length_18075_cov_13.851443,['/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/assemblies/assemblies/ERZ724086_FASTA.fasta.gz'],/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/contigs/contigs/MGYC000576557905.fna.gz,False,"['/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/assemblies/assemblies_cds/ERZ724086_FASTA_CDS_annotated.faa.gz', '/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/assemblies/assemblies_cds/ERZ724086_FASTA_CDS_unannotated.faa.gz']",/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/contigs/proteins/MGYC000576557905.faa.gz,False,/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/contigs/gff/MGYC000576557905.gff.gz,False
MGYC000576762946,ERZ724087,ERZ724087.5875 NODE_5875_length_8674_cov_8.205824,['/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/assemblies/assemblies/ERZ724087_FASTA.fasta.gz'],/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/contigs/contigs/MGYC000576762946.fna.gz,False,"['/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/assemblies/assemblies_cds/ERZ724087_FASTA_CDS_annotated.faa.gz', '/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/assemblies/assemblies_cds/ERZ724087_FASTA_CDS_unannotated.faa.gz']",/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/contigs/proteins/MGYC000576762946.faa.gz,False,/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/contigs/gff/MGYC000576762946.gff.gz,False
MGYC001349355735,ERZ505214,ERZ505214.66-NODE-66-length-84372-cov-4.598837,['/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/assemblies/assemblies/ERZ505214_FASTA.fasta.gz'],/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/contigs/contigs/MGYC001349355735.fna.gz,True,['/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/assemblies/assemblies_cds/ERZ505214_FASTA_predicted_cds.faa.gz'],/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/contigs/proteins/MGYC001349355735.faa.gz,True,/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/contigs/gff/MGYC001349355735.gff.gz,True
MGYC001350156015,ERZ505219,,['/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/assemblies/assemblies/ERZ505219_FASTA.fasta.gz'],/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/contigs/contigs/MGYC001350156015.fna.gz,False,['/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/assemblies/assemblies_cds/ERZ505219_FASTA_predicted_cds.faa.gz'],/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/contigs/proteins/MGYC001350156015.faa.gz,False,/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/contigs/gff/MGYC001350156015.gff.gz,False
