,ERZ,ERZ_contig,downloaded_assemblies,contig_file,extracted_contig_file,downloaded_cds,cds_file,extracted_cds_file,gff_file,extracted_gff_file
MGYC001350171075,ERZ505221,ERZ505221.530-NODE-530-length-22303-cov-3.815396,['/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/assemblies/assemblies/ERZ505221_FASTA.fasta.gz'],/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/contigs/contigs/MGYC001350171075.fna.gz,True,['/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/assemblies/assemblies_cds/ERZ505221_FASTA_predicted_cds.faa.gz'],/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/contigs/proteins/MGYC001350171075.faa.gz,True,/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/contigs/gff/MGYC001350171075.gff.gz,True
MGYC001350180553,ERZ505222,ERZ505222.1617-NODE-1617-length-7923-cov-2.462529,['/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/assemblies/assemblies/ERZ505222_FASTA.fasta.gz'],/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/contigs/contigs/MGYC001350180553.fna.gz,True,['/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/assemblies/assemblies_cds/ERZ505222_FASTA_predicted_cds.faa.gz'],/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/contigs/proteins/MGYC001350180553.faa.gz,True,/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/contigs/gff/MGYC001350180553.gff.gz,True
MGYC001352697317,ERZ505238,ERZ505238.1553-NODE-1553-length-6994-cov-2.178979,['/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/assemblies/assemblies/ERZ505238_FASTA.fasta.gz'],/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/contigs/contigs/MGYC001352697317.fna.gz,True,['/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/assemblies/assemblies_cds/ERZ505238_FASTA_predicted_cds.faa.gz'],/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/contigs/proteins/MGYC001352697317.faa.gz,True,/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/contigs/gff/MGYC001352697317.gff.gz,True
MGYC001352708281,ERZ505241,ERZ505241.868-NODE-868-length-17420-cov-3.632128,['/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/assemblies/assemblies/ERZ505241_FASTA.fasta.gz'],/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/contigs/contigs/MGYC001352708281.fna.gz,True,['/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/assemblies/assemblies_cds/ERZ505241_FASTA_predicted_cds.faa.gz'],/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/contigs/proteins/MGYC001352708281.faa.gz,True,/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/contigs/gff/MGYC001352708281.gff.gz,True
MGYC001350146637,ERZ508522,ERZ508522.10-NODE-10-length-266107-cov-10.581468,['/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/assemblies/assemblies/ERZ508522_FASTA.fasta.gz'],/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/contigs/contigs/MGYC001350146637.fna.gz,True,['/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/assemblies/assemblies_cds/ERZ508522_FASTA_predicted_cds.faa.gz'],/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/contigs/proteins/MGYC001350146637.faa.gz,True,/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/contigs/gff/MGYC001350146637.gff.gz,True
MGYC001161375026,ERZ1760261,ERZ1760261.1172-NODE-1172-length-5712-cov-3.053562,['/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/assemblies/assemblies/ERZ1760261_FASTA.fasta.gz'],/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/contigs/contigs/MGYC001161375026.fna.gz,True,['/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/assemblies/assemblies_cds/ERZ1760261_FASTA_predicted_cds.faa.gz'],/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/contigs/proteins/MGYC001161375026.faa.gz,True,/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/contigs/gff/MGYC001161375026.gff.gz,True
MGYC001161357273,ERZ1760262,ERZ1760262.204-NODE-204-length-87820-cov-7.788367,['/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/assemblies/assemblies/ERZ1760262_FASTA.fasta.gz'],/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/contigs/contigs/MGYC001161357273.fna.gz,True,['/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/assemblies/assemblies_cds/ERZ1760262_FASTA_predicted_cds.faa.gz'],/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/contigs/proteins/MGYC001161357273.faa.gz,True,/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/contigs/gff/MGYC001161357273.gff.gz,True
MGYC001161311837,ERZ1760263,ERZ1760263.178-NODE-178-length-87820-cov-7.597881,['/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/assemblies/assemblies/ERZ1760263_FASTA.fasta.gz'],/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/contigs/contigs/MGYC001161311837.fna.gz,True,['/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/assemblies/assemblies_cds/ERZ1760263_FASTA_predicted_cds.faa.gz'],/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/contigs/proteins/MGYC001161311837.faa.gz,True,/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/contigs/gff/MGYC001161311837.gff.gz,True
MGYC001161437107,ERZ1760264,ERZ1760264.2297-NODE-2297-length-2841-cov-2.366475,['/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/assemblies/assemblies/ERZ1760264_FASTA.fasta.gz'],/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/contigs/contigs/MGYC001161437107.fna.gz,True,['/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/assemblies/assemblies_cds/ERZ1760264_FASTA_predicted_cds.faa.gz'],/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/contigs/proteins/MGYC001161437107.faa.gz,True,/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/contigs/gff/MGYC001161437107.gff.gz,True
MGYC001161386914,ERZ1760265,ERZ1760265.214-NODE-214-length-87820-cov-8.698456,['/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/assemblies/assemblies/ERZ1760265_FASTA.fasta.gz'],/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/contigs/contigs/MGYC001161386914.fna.gz,True,['/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/assemblies/assemblies_cds/ERZ1760265_FASTA_predicted_cds.faa.gz'],/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/contigs/proteins/MGYC001161386914.faa.gz,True,/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/contigs/gff/MGYC001161386914.gff.gz,True
MGYC001161326517,ERZ1760266,ERZ1760266.182-NODE-182-length-87820-cov-7.673606,['/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/assemblies/assemblies/ERZ1760266_FASTA.fasta.gz'],/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/contigs/contigs/MGYC001161326517.fna.gz,True,['/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/assemblies/assemblies_cds/ERZ1760266_FASTA_predicted_cds.faa.gz'],/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/contigs/proteins/MGYC001161326517.faa.gz,True,/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/contigs/gff/MGYC001161326517.gff.gz,True
MGYC001161268177,ERZ1760267,ERZ1760267.121-NODE-121-length-88259-cov-6.778910,['/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/assemblies/assemblies/ERZ1760267_FASTA.fasta.gz'],/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/contigs/contigs/MGYC001161268177.fna.gz,True,['/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/assemblies/assemblies_cds/ERZ1760267_FASTA_predicted_cds.faa.gz'],/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/contigs/proteins/MGYC001161268177.faa.gz,True,/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/contigs/gff/MGYC001161268177.gff.gz,True
MGYC001161218683,ERZ1760268,ERZ1760268.85-NODE-85-length-87820-cov-4.262417,['/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/assemblies/assemblies/ERZ1760268_FASTA.fasta.gz'],/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/contigs/contigs/MGYC001161218683.fna.gz,True,['/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/assemblies/assemblies_cds/ERZ1760268_FASTA_predicted_cds.faa.gz'],/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/contigs/proteins/MGYC001161218683.faa.gz,True,/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/contigs/gff/MGYC001161218683.gff.gz,True
MGYC001161395834,ERZ1760269,ERZ1760269.1079-NODE-1079-length-6479-cov-2.109589,['/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/assemblies/assemblies/ERZ1760269_FASTA.fasta.gz'],/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/contigs/contigs/MGYC001161395834.fna.gz,True,['/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/assemblies/assemblies_cds/ERZ1760269_FASTA_predicted_cds.faa.gz'],/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/contigs/proteins/MGYC001161395834.faa.gz,True,/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/contigs/gff/MGYC001161395834.gff.gz,True
MGYC001475293747,ERZ650344,,['/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/assemblies/assemblies/ERZ650344_FASTA.fasta.gz'],/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/contigs/contigs/MGYC001475293747.fna.gz,False,"['/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/assemblies/assemblies_cds/ERZ650344_FASTA_CDS_annotated.faa.gz', '/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/assemblies/assemblies_cds/ERZ650344_FASTA_CDS_unannotated.faa.gz']",/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/contigs/proteins/MGYC001475293747.faa.gz,False,/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/contigs/gff/MGYC001475293747.gff.gz,False
MGYC001475873029,ERZ650667,,['/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/assemblies/assemblies/ERZ650667_FASTA.fasta.gz'],/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/contigs/contigs/MGYC001475873029.fna.gz,False,"['/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/assemblies/assemblies_cds/ERZ650667_FASTA_CDS_annotated.faa.gz', '/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/assemblies/assemblies_cds/ERZ650667_FASTA_CDS_unannotated.faa.gz']",/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/contigs/proteins/MGYC001475873029.faa.gz,False,/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/contigs/gff/MGYC001475873029.gff.gz,False
MGYC001476397871,ERZ650668,ERZ650668.907 NODE_907_length_48877_cov_11.969754,['/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/assemblies/assemblies/ERZ650668_FASTA.fasta.gz'],/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/contigs/contigs/MGYC001476397871.fna.gz,False,"['/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/assemblies/assemblies_cds/ERZ650668_FASTA_CDS_annotated.faa.gz', '/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/assemblies/assemblies_cds/ERZ650668_FASTA_CDS_unannotated.faa.gz']",/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/contigs/proteins/MGYC001476397871.faa.gz,False,/scicore/home/schwede/pasqua0002/metaGCsnap/workflow/metaGCsnap/tutorial/rubisco/contigs/gff/MGYC001476397871.gff.gz,False
